purpose_te,addr_state_te,loan_amnt,term,installment,grade,emp_length,annual_inc,verification_status,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,open_acc,pub_rec,revol_bal,revol_util,total_acc,credit_length,issue_d_year,issue_d_month,issue_d_dayOfWeek,issue_d_weekend,log_inc_per_acct,home_3cat,emp_length_missing
0.120106523,0.173929961,5000, 36 months,162.87,B,10,24000,verified,27.65,0,1,,3,0,13648,83.7,9,26,2011,12,Thu,0,7.888584532,RENT,0
0.120542715,0.169474807,2500, 60 months,59.83,C,0,30000,verified,1,0,5,,3,0,1687,9.4,4,12,2011,12,Thu,0,8.9226583,RENT,0
0.281409639,0.125688007,2400, 36 months,84.33,C,10,12252,not verified,8.72,0,2,,2,0,2956,98.5,10,10,2011,12,Thu,0,7.110859375,RENT,0
0.202614785,0.199523372,10000, 36 months,339.31,C,10,49200,verified,20,0,1,35,10,0,5598,21,37,15,2011,12,Thu,0,7.19273099,RENT,0
0.119725542,0.167072548,5000, 36 months,156.46,A,3,36000,verified,11.2,0,3,,9,0,7963,28.3,12,7,2011,12,Thu,0,8.006367568,RENT,0
0.078932665,0.132642991,3000, 36 months,109.43,E,9,48000,verified,5.35,0,2,,4,0,8221,87.5,4,4,2011,12,Thu,0,9.392661929,RENT,0
0.300133598,0.171956217,5600, 60 months,152.39,F,4,40000,verified,5.55,0,2,,11,0,5210,32.6,13,7,2011,12,Thu,0,8.031685376,OTHER,0
0.211634196,0.171935402,5375, 60 months,121.45,B,0,15000,verified,18.08,0,0,,2,0,9279,36.5,3,7,2011,12,Thu,0,8.517193191,RENT,0
0.120041487,0.121308144,6500, 60 months,153.45,C,5,72000,not verified,16.12,0,2,,14,0,4032,20.6,23,13,2011,12,Thu,0,8.048927182,OTHER,0
0.187025777,0.151967036,9000, 36 months,305.38,C,0,30000,verified,10.08,0,1,,4,0,10452,91.7,9,7,2011,12,Thu,0,8.111728083,RENT,0
0.081535856,0.116538182,3000, 36 months,96.68,B,3,15000,verified,12.56,0,2,,11,0,7323,43.1,11,8,2011,12,Thu,0,7.217910207,RENT,0
0.138875557,0.135784143,10000, 36 months,325.74,B,3,100000,verified,7.06,0,2,,14,0,11997,55.5,29,20,2011,12,Thu,0,8.145629635,RENT,0
0.122718439,0.155673951,1000, 36 months,35.31,D,0,28000,not verified,20.31,0,1,,11,0,6524,81.5,23,4,2011,12,Thu,0,7.104465573,RENT,0
0.15927009,0.193029362,10000, 36 months,347.98,C,4,42000,not verified,18.6,0,2,61,14,0,24043,70.2,28,13,2011,12,Thu,0,7.313220387,RENT,0
0.11652474,0.139184552,3600, 36 months,109.57,A,10,110000,not verified,10.52,0,0,,20,0,22836,16,42,18,2011,12,Thu,0,7.870566026,MORTGAGE,0
0.147923186,0.133742776,6000, 36 months,198.46,B,1,84000,verified,18.44,2,0,8,4,0,0,37.73,14,8,2011,12,Thu,0,8.699514748,MORTGAGE,0
0.214510528,0.224500323,9200, 36 months,280.01,A,6,77385.19,not verified,9.86,0,0,,8,0,7314,23.1,28,10,2011,12,Thu,0,7.924346187,RENT,0
0.138043771,0.174989356,21000, 36 months,701.73,B,10,105000,verified,13.22,0,0,,7,0,32135,90.3,38,28,2011,12,Thu,0,7.924129469,RENT,0
0.143927746,0.169866942,10000, 36 months,330.76,B,10,50000,verified,11.18,0,0,,8,0,10056,82.4,21,26,2011,12,Thu,0,7.775255847,OTHER,0
0.173091326,0.18308112,10000, 36 months,330.76,B,5,50000,not verified,16.01,0,0,,6,0,17800,91.8,17,8,2011,12,Thu,0,7.98656494,RENT,0
0.090822707,0.125825032,15000, 36 months,483.38,B,2,92000,verified,29.44,0,0,,8,0,13707,93.9,31,9,2011,12,Thu,0,7.995556652,MORTGAGE,0
0.188138209,0.162923826,15000, 36 months,514.64,C,9,60000,not verified,15.22,0,1,,7,0,5872,57.6,11,8,2011,12,Thu,0,8.604204568,RENT,0
0.223390461,0.189793241,5000, 60 months,123.65,D,2,50004,not verified,13.97,3,0,20,14,0,4345,59.5,22,8,2011,12,Thu,0,7.728815828,RENT,0
0.157194529,0.131980146,4375, 36 months,136.11,A,7,17108,verified,20.34,0,0,,6,0,11210,86.9,12,24,2011,12,Thu,0,7.26239482,MORTGAGE,0
0.12191479,0.133479928,5000, 36 months,158.77,A,2,24044,verified,11.93,0,0,45,8,0,2224,29.3,16,6,2011,12,Thu,0,7.315052042,RENT,0
0.161621748,0.224168325,7000, 36 months,245.97,C,7,34000,verified,6.35,0,1,,6,0,6113,60.5,6,4,2011,12,Thu,0,8.642356334,RENT,0
0.085646014,0.155115527,12400, 36 months,403.91,B,10,41000,not verified,11.8,0,2,,9,0,11095,57.2,12,6,2011,12,Thu,0,8.136420696,RENT,0
0.171246524,0.164905095,10800, 36 months,348.03,B,2,55596,verified,5.5,0,0,,7,0,2535,13.3,18,11,2011,12,Thu,0,8.035494777,RENT,0
0.186763135,0.158412307,15000, 36 months,469.36,A,1,45000,verified,8.48,0,0,,7,0,6704,50.4,27,7,2011,12,Thu,0,7.418580903,RENT,0
0.163618759,0.164885415,6000, 36 months,200.5,B,1,36852,verified,10.62,0,1,,7,0,7310,66.5,12,4,2011,12,Thu,0,8.02975852,RENT,0
0.142797477,0.106500192,9600, 36 months,298.67,A,4,68004,verified,6.63,0,0,,6,0,2896,18.1,11,8,2011,12,Thu,0,8.729426533,RENT,0
0.169915924,0.162182746,12000, 36 months,375.49,A,10,62300,not verified,16.7,0,0,38,15,0,8601,21,25,17,2011,12,Thu,0,7.82084088,RENT,0
0.194340868,0.160743648,3000, 36 months,108.84,D,9,65000,not verified,17.39,0,0,,8,0,43936,98.1,22,13,2011,12,Thu,0,7.991100096,MORTGAGE,0
0.263723278,0.102293712,14000, 36 months,451.15,B,6,80000,not verified,10,0,1,45,7,0,2219,13.4,40,12,2011,12,Thu,0,7.60090246,RENT,0
0.124323485,0.095972656,5000, 36 months,158.77,A,10,100000,verified,16.33,0,0,,17,0,74351,62.1,35,16,2011,12,Thu,0,7.957577403,MORTGAGE,0
0.154903345,0.177037435,10000, 36 months,304.36,A,10,60000,not verified,12.74,0,1,,11,0,14019,19.5,18,19,2011,12,Thu,0,8.111728083,RENT,0
0.127000616,0.096577924,11000, 36 months,337.75,A,5,70000,not verified,10.85,0,0,,5,0,11638,36.4,7,9,2011,12,Thu,0,9.210340372,RENT,0
0.119546167,0.10199171,15000, 36 months,483.38,B,8,80000,not verified,9.12,0,2,,9,0,11845,63.7,28,19,2011,12,Thu,0,7.957577403,MORTGAGE,0
0.133679573,0.19622615,25600, 36 months,824.96,B,9,110000,verified,15.71,0,0,,11,0,26088,62,27,12,2011,12,Thu,0,8.312398779,RENT,0
0.162795041,0.216505367,12000, 36 months,421.65,C,4,50000,not verified,20.88,0,2,,11,0,15793,90.8,11,5,2011,12,Thu,0,8.421883012,RENT,0
0.100513022,0.126452218,12000, 36 months,386.7,B,1,46000,not verified,8.11,0,1,,11,0,12143,52.1,12,11,2011,12,Thu,0,8.251490026,RENT,0
0.182622651,0.198333941,21000, 60 months,555.33,E,7,50000,verified,21.58,0,1,,7,0,19448,97.6,14,13,2011,12,Thu,0,8.180720955,RENT,0
0.125919227,0.155213619,16000, 60 months,423.11,E,7,81000,verified,20.52,0,3,,12,0,27884,75.1,21,13,2011,12,Thu,0,8.257681996,RENT,0
0.147454331,0.159019469,10000, 36 months,334.16,B,0,39000,not verified,18.58,0,0,,5,0,12874,72.7,10,7,2011,12,Thu,0,8.268731832,OTHER,0
